Suma de Extranjeros no Residentes
147912
159460
162582
144277
151110
156066
187732
177429
156031
165290
172289
204566
182062
191097
193401
168364
164423
181707
206538
200390
172863
180115
190352
209742
188045
204233
201472
193786
186785
194428
230352
223347
190658
196703
217841
238165
221307
236116
248055
212816
201704
211949
246806
241723
204985
202649
227169
253764
229937
252418
252682
216817
217086
218438
259501
252771
213967
212960
230596
256852
273107
302180
134657
408
652
1405
1484
1699
6230
31291
51789
88963
61710
52897
72753
59779
56129
88144
121908
134539
134241
154054
204986
254125
197182
216232
247502
257074
243207
260572
319511
313916
281219
282367
311937
349212
318926
331332
340921
313085
298619
327623
400738

